macrocode,macrorregiao,mpib20092013,mpib20142018,med_por1000_20092013,med_por1000_20142018,mpsaude20092013,mpsaude20142018,mpobres2010,mtmi2010,mtanalfa2010,mgini2010,mexpobres2010,mitheill2010,mitheilrt2010,maguaesgruim2010,msemeletric2010,midh2010,midh_edu2010,midh_long2010,midh_renda2010,om_tot,nvtot,pop_tot,tbn,c,rmm,rmmest
3108,"NORTE",9585.82,13616.2,.868365,.970831,7.09434,6.85961,26.4786,17.2903,16.2025,.512925,10.8796,.491482,.403814,7.8389,2.19333,.67043,.594166,.816334,.624591,74,112970,8.3e+06,1.361597,70.37545,65.50412,62.2957
3109,"NOROESTE",17613.6,26898.1,.91917,.971483,11.5797,10.786,10.5669,14.9878,9.18913,.503427,3.59242,.45542,.414474,1.94035,1.65585,.719987,.632376,.840546,.703497,21,43654,3.5e+06,1.260406,22.4521,48.10556,51.43195
3110,"LESTE DO SUL",10588.2,15515.9,.869859,.883255,11.266,10.5357,17.6233,16.0761,12.3828,.499304,5.63536,.450544,.388362,1.40758,.503507,.669394,.548276,.826796,.663573,16,43015,3.4e+06,1.246847,24.61669,37.19633,57.22814
3111,"NORDESTE",7378.84,10618.8,.637103,.658695,5.75389,5.87087,31.0053,18.7749,22.7626,.526167,13.2031,.513715,.419347,7.15192,3.38711,.624853,.500714,.799627,.611358,33,50683,4.2e+06,1.219737,29.59918,65.11059,58.4006
3112,"TRIANGULO DO SUL",28627.7,40545.7,1.82574,1.81022,25.2927,26.0186,4.18614,13.3738,6.06256,.486438,1.2038,.414744,.364495,.464855,.293813,.748054,.656493,.854089,.748441,28,47842,3.8e+06,1.251595,22.67229,58.52598,47.38993
3113,"TRIANGULO DO NORTE",27948.9,40307.1,1.84063,1.7357,26.4157,23.6042,4.1012,11.948,5.90787,.492884,.987633,.423902,.40098,.496246,.212128,.759158,.670607,.870294,.751227,24,85202,6.4e+06,1.339735,42.06101,28.16835,49.36623
3114,"VALE DO ACO",18647.3,23709.4,1.03489,1.08146,22.2014,22.1914,11.9041,14.872,9.03257,.489601,3.73558,.437018,.362862,.861415,.417524,.718404,.634968,.841726,.696408,26,52075,4.1e+06,1.255597,27.88213,49.92799,53.54226
3205,"SUL",36168.1,37082,1.3095,1.27264,16.3322,14.8528,11.9889,14.0705,9.91452,.497836,3.4047,.441886,.379491,.731782,.259936,.707534,.614274,.833891,.69304,30,43090,3.3e+06,1.296442,20.7527,69.62172,48.16129
3206,"NORTE",13271.8,16267,.827689,.869083,12.2669,11.3291,16.2079,14.746,14.2405,.515621,5.48291,.486913,.420516,2.18141,.506986,.694664,.599741,.825624,.677723,19,27144,2.1e+06,1.297776,15.79243,69.99706,58.1802
3207,"METROPOLITANA",28572.1,32422.4,2.21918,2.04381,40.4211,31.5688,6.93424,12.7258,5.79746,.514174,1.66415,.483023,.404934,.754577,.068831,.755966,.677183,.846598,.756023,98,161877,1.1e+07,1.498947,96.47418,60.53979,59.59721
